"THE_TE_UID_1","THE_TE_UID_2"
92864,71671
92868,93030
92871,92872
92873,71671
92874,103052
92875,90322
92877,69159
92879,70092
92880,70092
92881,71373
92888,91127
92889,71132
92890,69340
92892,69946
92894,92228
92897,87144
92906,93020
92909,71754
92911,69938
92912,69938
92914,68783
92917,68568
92918,68797
92919,68568
92920,68558
92922,88199
92930,70720
92930,69435
92931,71516
92935,92934
92937,71688
92940,93838
92941,71486
92946,92769
92947,91452
92949,69957
92953,71859
92954,68822
92956,68734
92959,83569
92961,90115
92962,71455
92963,70976
92963,68723
92964,68723
92965,71455
92966,68723
92966,70976
92967,71690
92972,71685
92974,68794
92975,68685
92976,93514
92978,68685
92979,68797
92980,71515
92982,68892
92985,93020
92986,70174
92988,104113
92988,104133
92990,70161
92990,70172
92990,70490
92991,70131
92993,74805
93001,103392
93002,103392
93003,103392
93004,70177
93004,68547
93005,70177
93005,69980
93006,70371
93006,70177
93007,70177
93007,70372
93008,68969
93008,70177
93009,70177
93009,70426
93010,68735
93010,68641
93011,70976
93011,68735
93013,91585
93018,71455
93022,71492
93024,71602
93025,71627
93026,71775
93027,71768
93029,91563
93031,93030
93032,68800
93033,92362
93034,68694
93035,87934
93037,70450
93038,70450
93040,69370
93042,69439
93048,70063
93049,70063
93050,70107
93051,71627
93052,71500
93054,69068
93054,71359
93055,71500
93059,91836
93060,68928
93063,69952
93067,91296
93069,91296
93069,100541
93083,71498
93084,68719
93086,93089
93087,71458
93091,87672
93092,93764
93093,71516
93095,70092
93098,69973
93102,70343
93107,68899
93108,88215
93112,71568
93120,92617
93124,71444
93125,71511
93127,71428
93130,71503
93131,68933
93134,93133
93135,69266
93137,93281
93138,68702
93139,68702
93140,69245
93142,132373
93146,92447
93147,92447
93155,68800
93158,68957
93160,93081
93161,71671
93164,71639
93165,69092
93167,100223
93171,87776
93177,71546
93178,71054
93183,71835
93186,68602
93187,92463
93188,87460
93189,68741
93190,68950
93191,71535
93195,93830
93199,92372
93202,93260
93203,93260
93204,92553
93205,92423
93206,71705
93207,68719
93208,92423
93209,68595
93210,91947
93212,93211
93217,93211
93218,71500
93221,71862
93225,70185
93226,70102
93227,70102
93230,71455
93232,68700
93232,71379
93233,92772
93235,70976
93235,68700
93236,71428
93236,68700
93237,68700
93237,68697
93238,71687
93239,92354
93240,71603
93241,71603
93244,71825
93246,71627
93247,71671
93249,69020
93256,69332
93258,69466
93263,68721
93272,71529
93273,71639
93273,71627
93274,93684
93278,71477
