"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
163183,"ANIMAL BREEDING FACILITY",1,135141,134482
133787,"ANIMAL BURIAL",1,133786,133667
182196,"ANIMAL BURIAL PIT",1,133806,133667
135583,"ANIMAL CAGE",1,135726,133551
133833,"ANIMAL CEMETERY",1,133832,133667
202732,"ANIMAL CREMATORIUM",1,133863,133667
135726,"ANIMAL DWELLING",1,133551,133551
197427,"ANIMAL FOOD PROCESSING PLANT",1,132062,132062
202776,"ANIMAL HAIR FACTORY",1,135380,132062
133555,"ANIMAL HOUSE",1,135726,133551
135068,"ANIMAL MEMORIAL",1,135067,135065
135431,"ANIMAL POWER SITE",1,132724,132062
135380,"ANIMAL PRODUCT SITE",1,132062,132062
165188,"ANIMAL QUARANTINE CENTRE",1,135141,134482
136690,"ANIMAL SANCTUARY",1,135141,134482
134014,"ANIMAL SHED",1,135100,134003
135867,"ANIMAL STALL",1,134003,134003
135941,"ANIMAL TOMB",1,133879,133667
134015,"ANIMAL WASH",1,134003,134003
135141,"ANIMAL WELFARE SITE",1,134482,134482
132359,"ANNEALING FURNACE",1,132357,132062
136649,"ANNEXE ENCLOSURE",1,143383,143383
134489,"ANTENATAL BLOCK",1,135138,134482
141404,"ANTENNA ARRAY",1,136817,133297
136823,"ANTI AIRCRAFT BATTERY",1,133323,133297
133301,"ANTI AIRCRAFT BATTERY",1,136812,133297
205341,"ANTI AIRCRAFT BATTERY COMMAND POST",1,136823,133297
205342,"ANTI AIRCRAFT BATTERY COMMAND POST",1,133301,133297
205340,"ANTI AIRCRAFT BATTERY COMMAND POST",1,139309,133297
136812,"ANTI AIRCRAFT DEFENCE SITE",1,133297,133297
185052,"ANTI AIRCRAFT GUN EMPLACEMENT",1,133360,133297
185053,"ANTI AIRCRAFT GUN EMPLACEMENT",1,133301,133297
185054,"ANTI AIRCRAFT GUN EMPLACEMENT",1,136823,133297
205344,"ANTI AIRCRAFT GUN POST",1,182771,133297
205343,"ANTI AIRCRAFT GUN POST",1,182770,133297
205345,"ANTI AIRCRAFT GUN TOWER",1,136812,133297
143257,"ANTI AIRCRAFT OPERATIONS ROOM",1,136812,133297
183901,"ANTI BOAT LANDING OBSTACLE",1,136832,133297
